,contributor_city,contribution_receipt_amount
14,LAGUNA NIGUEL,12089.67
15,LONG BEACH,2317.0
23,SAN FRANCISCO,1225.0
27,WEST SACRAMENTO,1147.79
22,SAN DIEGO,1107.54
29,WILLITS,742.5
18,MURRIETA,569.0
25,SUNNYVALE,425.1
7,EL CENTRO,292.0
2,CHULA VISTA,267.5
11,LA HABRA,255.73
5,DIAMOND BAR,207.5
6,DOWNEY,169.0
9,IMPERIAL,116.25
12,LA MESA,100.0
13,LAGUNA HILLS,100.0
24,SAN JOSE,100.0
3,COVINA,85.0
28,WILDOMAR,72.0
1,BEAUMONT,52.0
26,TORRANCE,50.0
20,OCEANSIDE,50.0
21,SAN BRUNO,49.0
8,FRESNO,45.0
16,LOS ANGELES,30.0
30,WINCHESTER,27.0
0,ANAHEIM,25.0
19,OAKLEY,20.0
10,JAMUL,20.0
17,MISSION VIEJO,11.0
4,DESCANSO,2.5
