,committee_name,contribution_receipt_amount
25,WINRED,7488.72
24,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,1329.1
4,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",1002.69
11,KEVIN MCCARTHY FOR CONGRESS,905.0
8,JIM JORDAN FOR CONGRESS,640.0
21,SAVE AMERICA,389.7
22,TIM SCOTT FOR SENATE,280.0
10,JOHN KENNEDY FOR US,260.0
23,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,224.5
15,MICHELLE STEEL FOR CONGRESS,151.0
2,CONGRESSIONAL LEADERSHIP FUND,150.0
6,FRIENDS OF MATT GAETZ,140.73
7,GEORGIANS FOR KELLY LOEFFLER,133.33
19,RAND PAUL FOR US SENATE,120.0
14,MARSHA FOR SENATE,120.0
0,ACTBLUE,116.0
